full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Miguel Monsalve;19;Categoria Primera A;2023;Midfielder;Independiente Medellín;Colombia;18;2;2;0;3;1;2;3;0
Misael Smith Martínez Olivella;25;Categoria Primera A;2023;Forward;Atlético Bucaramanga;Colombia;16;2;2;0;1;1;0;6;1
Moisés Villarroel Angúlo;25;Categoria Primera A;2023;Midfielder;Rionegro Águilas;Bolivia;13;0;0;0;1;0;1;3;0
Muricio Javier García Hernández;24;Categoria Primera A;2023;Defender;Boyacá Chicó;Colombia;9;0;0;0;0;0;0;0;0
Nahuel Ezequiel Gallardo;25;Categoria Primera A;2023;Defender;Once Caldas;Argentina;9;0;0;0;0;0;0;2;0
Neffer Andrés Díaz;18;Categoria Primera A;2023;Forward;Independiente Medellín;Colombia;0;0;0;0;0;0;0;0;0
Néider Stiven Ospina Flórez;20;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;4;0;0;0;0;0;0;0;0
Nelino José Tapia Gil;32;Categoria Primera A;2023;Defender;Jaguares de Córdoba;Colombia;9;1;1;0;0;0;0;4;0
Nelson Deossa;23;Categoria Primera A;2023;Midfielder;Atlético Nacional;Colombia;34;5;3;2;3;2;1;9;0
Nelson Mauricio Reyes Jaimes;21;Categoria Primera A;2023;Midfielder;Atlético Bucaramanga;Colombia;6;0;0;0;0;0;0;0;0
Nelson Palacio Ruiz;22;Categoria Primera A;2023;Midfielder;Atlético Nacional;Colombia;21;1;1;0;1;1;0;2;0
Neyder Stiven Moreno Betancur;26;Categoria Primera A;2023;Midfielder;Atlético Nacional;Colombia;28;2;1;1;2;2;0;3;0
Neymar David Sánchez Segura;19;Categoria Primera A;2023;Midfielder;Atlético Bucaramanga;Colombia;5;1;1;0;0;0;0;0;0
Nicola Profeta Cabrales;17;Categoria Primera A;2023;Midfielder;Deportivo Cali;Colombia;0;0;0;0;0;0;0;0;0
Nicolás Andrés Giraldo Urueta;30;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;6;0;0;0;0;0;0;1;0
Nicolás Arévalo;20;Categoria Primera A;2023;Midfielder;Millonarios;Colombia;6;0;0;0;1;0;1;1;0
Nicolás Fernando Rubio Guzmán;28;Categoria Primera A;2023;Midfielder;Boyacá Chicó;Colombia;1;0;0;0;0;0;0;0;0
Nicolás Gil Uribe;26;Categoria Primera A;2023;Midfielder;Unión Magdalena;Colombia;31;1;1;0;0;0;0;13;2
Nicolás Lara Vásquez;20;Categoria Primera A;2023;Defender;Rionegro Águilas;Colombia;1;0;0;0;0;0;0;1;0
Nicolás Marotta;26;Categoria Primera A;2023;Defender;Atlético Bucaramanga;Argentina;18;0;0;0;0;0;0;9;1
Nilson David Castrillón Burbano;27;Categoria Primera A;2023;Midfielder;Junior;Colombia;10;0;0;0;0;0;0;0;0
Omar Antonio Albornoz Contreras;28;Categoria Primera A;2023;Defender;Junior;Colombia;11;2;0;2;0;0;0;2;0
Omar Bertel;27;Categoria Primera A;2023;Defender;Millonarios;Colombia;24;0;0;0;2;2;0;1;0
Omar Rodríguez;26;Categoria Primera A;2023;Goalkeeper;Santa Fe;Colombia;0;0;0;0;0;0;0;0;0
Onel Jhosep Acosta Barrera;23;Categoria Primera A;2023;Forward;Deportivo Cali;Colombia;14;0;0;0;0;0;0;3;0
Óscar Alberto Alcocer Castro;23;Categoria Primera A;2023;Midfielder;Atlético Bucaramanga;Colombia;5;0;0;0;0;0;0;0;0
Oscar Javier Hernández Niño;30;Categoria Primera A;2023;Midfielder;Rionegro Águilas;Venezuela;28;0;0;0;0;0;0;4;0
