full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Ronaldo Antonio Dinolis Rodríguez;28;Categoria Primera A;2022;Forward;La Equidad;Panama;6;0;0;0;0;0;0;1;0
Ronaldo Luis Lora Ballestas;26;Categoria Primera A;2022;Midfielder;Unión Magdalena;Colombia;28;0;0;0;0;0;0;9;0
Royscer Rafael Colpa Bolaño;28;Categoria Primera A;2022;Midfielder;Alianza Petrolera;Colombia;31;1;0;1;0;0;0;13;0
Rubén Darío Manjarrés Jiménez;23;Categoria Primera A;2022;Midfielder;Alianza Petrolera;Colombia;23;2;2;0;0;0;0;2;0
Rubén Darío Monges Figari;30;Categoria Primera A;2022;Defender;Deportivo Pasto;Paraguay;4;0;0;0;0;0;0;1;0
Rubén Leonardo Pico Carvajal;32;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;23;0;0;0;0;0;0;0;0
Rubio César España Álvarez;19;Categoria Primera A;2022;Midfielder;Envigado;Colombia;6;1;1;0;0;0;0;0;0
Ruyery Alfonso Blanco Yus;24;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;20;2;2;0;2;2;0;1;0
Samuel David Asprilla Gallego;19;Categoria Primera A;2022;Defender;Millonarios;Colombia;1;0;0;0;0;0;0;0;0
Samuel Velásquez Uribe;20;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
