date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Apr 28 2014 - 12:15am;La Equidad;Millonarios;0;1;1;2;1;3;0;1;0;16;11;7;9;16;18;47;53;Estadio Metropolitano de Techo
May 03 2014 - 10:00pm;Millonarios;La Equidad;1;1;2;4;2;2;1;2;0;8;12;3;5;21;19;52;48;Estadio Nemesio Camacho El Campín
May 04 2014 - 12:30am;Junior;Rionegro Águilas;2;1;3;2;4;2;1;5;0;6;11;3;6;18;10;51;49;Estadio Metropolitano Roberto Meléndez
May 04 2014 - 10:00pm;Santa Fe;Once Caldas;1;2;3;2;3;3;0;4;0;19;13;9;5;19;16;48;52;Estadio Nemesio Camacho El Campín
May 05 2014 - 12:15am;Atlético Nacional;Envigado;2;1;3;10;2;1;0;4;0;11;6;2;4;15;22;48;52;Estadio Atanasio Girardot
May 07 2014 - 11:30pm;Santa Fe;Atlético Nacional;1;0;1;3;3;1;0;3;0;9;12;5;6;25;17;50;50;Estadio Nemesio Camacho El Campín
May 08 2014 - 1:30am;Junior;Millonarios;0;0;0;10;2;2;0;2;0;14;12;3;5;24;20;50;50;Estadio Metropolitano Roberto Meléndez
May 11 2014 - 10:00pm;Millonarios;Junior;0;0;0;12;2;2;0;3;0;16;7;6;4;17;19;48;52;Estadio Nemesio Camacho El Campín
May 12 2014 - 12:15am;Atlético Nacional;Santa Fe;2;0;2;8;4;2;0;2;1;11;12;7;4;17;17;52;48;Estadio Atanasio Girardot
May 18 2014 - 11:30pm;Junior;Atlético Nacional;1;0;1;3;3;2;0;5;0;15;12;4;6;10;6;50;50;Estadio Metropolitano Roberto Meléndez
May 22 2014 - 12:00am;Atlético Nacional;Junior;2;1;3;8;0;3;0;4;0;11;11;2;4;16;21;51;49;Estadio Atanasio Girardot
Jul 19 2014 - 12:45am;Patriotas Boyacá;Deportivo Pasto;3;0;3;3;3;2;0;3;1;25;11;6;5;12;11;47;53;Estadio de La Independencia
